Date;Fitted_values
03/01/2000;0
04/01/2000;-55.79992676
05/01/2000;2.689941386
06/01/2000;1.339965823
07/01/2000;38.02001953
10/01/2000;16.1300049
11/01/2000;-19.03991699
12/01/2000;-6.310058601
13/01/2000;17.43005371
14/01/2000;15.46997071
18/01/2000;-10.01000976
19/01/2000;0.760009761
20/01/2000;-10.33007812
21/01/2000;-4.209960941
24/01/2000;-39.82995606
25/01/2000;8.499999986
26/01/2000;-5.940063472
27/01/2000;-5.529907229
28/01/2000;-38.40002442
31/01/2000;34.29992674
01/02/2000;14.82006837
02/02/2000;-0.160034175
03/02/2000;15.84997558
04/02/2000;-0.59997558
07/02/2000;-0.130004883
08/02/2000;17.47998047
09/02/2000;-30.01000976
10/02/2000;5.119995106
11/02/2000;-29.70996094
14/02/2000;2.819946278
15/02/2000;12.11010742
16/02/2000;39.38113884
17/02/2000;13.17762896
18/02/2000;-49.45318469
22/02/2000;-89.35961058
23/02/2000;-94.21812976
24/02/2000;-76.13050502
25/02/2000;-85.96109567
28/02/2000;-86.48065012
29/02/2000;-79.39809363
01/03/2000;-51.55706835
02/03/2000;-45.29654209
03/03/2000;-6.272662067
06/03/2000;-17.56476148
07/03/2000;-15.56693222
08/03/2000;-13.49731337
09/03/2000;27.44711352
10/03/2000;27.68004778
13/03/2000;50.45191432
14/03/2000;-9.636042224
15/03/2000;1.571492378
16/03/2000;67.36428083
17/03/2000;61.06168492
20/03/2000;47.53135406
21/03/2000;77.96703375
22/03/2000;67.60676813
23/03/2000;118.8171896
24/03/2000;111.5428548
27/03/2000;132.4363118
28/03/2000;109.4901358
29/03/2000;94.01660529
30/03/2000;98.69833773
31/03/2000;100.3120357
03/04/2000;120.4616098
04/04/2000;79.19668691
05/04/2000;47.69525041
06/04/2000;65.75301104
07/04/2000;90.70928924
10/04/2000;56.74628854
11/04/2000;23.54644446
12/04/2000;-20.57160228
13/04/2000;-55.78169248
14/04/2000;-155.4739149
17/04/2000;-109.3469047
18/04/2000;-24.63872388
19/04/2000;-42.76259489
20/04/2000;-58.6002995
24/04/2000;-60.95275518
25/04/2000;15.20597103
26/04/2000;-0.547072388
27/04/2000;-27.87246282
28/04/2000;-82.16224573
01/05/2000;-83.26959068
02/05/2000;-100.9808573
03/05/2000;-155.5790668
04/05/2000;-181.7981751
05/05/2000;-159.0213437
08/05/2000;-166.9285529
09/05/2000;-161.6458007
10/05/2000;-184.1548149
11/05/2000;-164.0543398
12/05/2000;-114.3519052
15/05/2000;-82.91377176
16/05/2000;-55.45496445
17/05/2000;-85.58536699
18/05/2000;-106.2603564
19/05/2000;-134.3580765
22/05/2000;-138.3845035
23/05/2000;-173.9295167
24/05/2000;-164.0426704
25/05/2000;-169.9300308
26/05/2000;-165.2017372
30/05/2000;-95.68752518
31/05/2000;-99.57414533
01/06/2000;-59.84521487
02/06/2000;-31.51790113
05/06/2000;-51.39406059
06/06/2000;-58.84509777
07/06/2000;-46.7254542
08/06/2000;-53.64994608
09/06/2000;-80.44688884
12/06/2000;-116.2798141
13/06/2000;-111.4600377
14/06/2000;-99.60487813
15/06/2000;-93.43915348
